緯度,經度,補習班名稱,電話,核准科目名稱,補習班住址,立案文號,立案日期,備註
24.80393620 ,120.97331990 ,巨匠電腦股份有限公司新竹美語分公司附設新竹市私立巨匠美語短期補習班,(03)5252077,美語,新竹市東門街35號、37號1-2樓,府教社字第0990003191 號,1/13/2010,兩間
24.79694530 ,120.96342780 ,新竹市私立李國賢室內設計短期補習班,(03)5618948,其他,新竹市中華路3段9號14樓之2,府教社字第0990029242 號,3/29/2010,
24.79767040 ,120.97686030 ,新竹市私立濟陽文理短期補習班,(03)5612383,英語數學,新竹市食品路142號3樓之1,府教社字第0990012797 號,2/9/2010,
24.80378070 ,120.98143060 ,新竹市私立薩姆爾美語短期補習班,(03)5611628,英語,新竹市公園路227巷15號1樓,府教社字第0990014384 號,2/8/2010,
24.79936080 ,120.96866900 ,新竹市私立好好創藝學園短期補習班,(03)5613938,美術,新竹市竹蓮街154號1、2樓,府教社字第0910023166 號,4/1/2002,
24.79482000 ,120.96545300 ,新竹市私立竹大文理短期補習班,(03)5629885,英語數學其他,新竹市食品路540號2樓,府教社字第0980122107號,11/23/2009,
24.80683080 ,120.95967160 ,新竹市私立立弘文理短期補習班,(03)5263143,國語數學,民富街169號2樓,府教社字第0980125869號,11/12/2009,
24.79978070 ,120.98315500 ,新竹市私立口袋文理短期補習班,(03)574852,作文數學英文音樂其他,新竹市園後街67巷5號1樓,府教社字第0980119551號,11/12/2009,
24.79941720 ,120.95582890 ,新竹市私立學順文教國語文短期補習班,(03)5302977,作文國語,新竹市牛埔路14巷6弄19-16號1樓,府教社字第0980121187 號,10/30/2009,
24.79079930 ,120.96611600 ,新竹市私立傑優美語短期補習班,(03)5613949,美語美語國語數學其他,新竹市南大路567巷43號1樓,府教社字第 0980112468號,10/23/2009,
24.82313060 ,120.97371950 ,新竹市私立智昇文理短期補習班,(03)5315696,數學英語,新竹市金竹路86號1樓,府教社字第0980095090號,9/11/2009,
24.78162000 ,121.00944700 ,新竹市私立全能文理短期補習班,(03)6667866,數學英語,新竹市民享街134號1-2樓,府教社字第0980102430號,10/2/2009,
24.80163890 ,120.97618370 ,新竹市私立楊翰文理短期補習班,(03)5230359,物理理化國語理化,新竹市南大路91-3號2-3樓,府教社字第0980109894號,10/15/2009,
24.82246330 ,120.97468650 ,新竹市私立亞瑟文理短期補習班,(03)5422346,英文英文數學,新竹市金竹路48巷38號1-3樓,府教社字第 0980075814號,7/16/2009,
24.79943210 ,120.96385000 ,新竹市私立南瓜田林森分班文理短期補習班,(03)5281881,英語數學理化英語英語數學英語生物,新竹市林森路182巷12號1-2樓,府教社字第0980086678 號,8/11/2009,
24.77684800 ,120.98400510 ,新竹市私立迪克森文理短期補習班,03-5670607,數學英語,新竹市高翠路327巷4弄34號1-3樓,府教社字第 0980057838號,6/3/2009,
24.77836900 ,121.02534600 ,新竹市私立竹科美語短期補習班,(03)5640059,英語,新竹市光復路1段89巷139號1樓,府教社字第 0980068702號,6/26/2009,
24.78220980 ,121.02618730 ,新竹市私立育光美語短期補習班,(03)5784537,英語,新竹市光復路一段576巷6號1-2樓,府教社字第 0980070576號,7/8/2009,
24.80438100 ,120.97318800 ,新竹市私立李安文理短期補習班,(03)0988205192,其他數學英文,新竹市東門街48號、50號7樓,府教社字第 0980066675號,6/29/2009,
24.80732590 ,120.95703300 ,新竹市私立鵝媽媽文理短期補習班,(03)5281580,美語理化,（30048）新竹市經國路2段390號5樓,府教社字第 0980017744號,6/15/2009,
24.81600490 ,120.97145050 ,新竹市私立兆丞文理短期補習班,(03)5312259,美語數學作文,新竹市光華街59巷14號1樓,府教社字第0980060636號,6/6/2009,
24.80392200 ,120.97196000 ,台灣知識庫股份有限公司新竹分公司附設新竹市私立數位學堂文理短期補習班,(03)5238442,其他數學,新竹市民族路31號10樓,府教社字第0980057676 號,6/30/2009,
24.80438700 ,120.97256900 ,新竹市私立陳杰文理短期補習班,(03)5263357,國語數學英文物理,新竹市東門街62號3樓至4樓,府教社字第0980030126 號,3/30/2009,
24.80654940 ,120.97194750 ,新竹市私立優質文理短期補習班,(03)5333800,其他數學美語,新竹市仁愛街18巷6號1-3樓,府教社字第0980031941 號,3/30/2009,
24.81668890 ,120.97159750 ,新竹市私立畊讀文理短期補習班,(03)5356311,英文數學數學其他,新竹市光華南街82之1號1至4樓,府教社字第 0970109573號,10/28/2008,
24.81785410 ,120.96493760 ,新竹市私立立文文理短期補習班,(03)5357038,數學美語,30054  新竹市北區武陵路57號1至4樓,府教社字第0980017870號,3/5/2009,
24.79996400 ,120.96174800 ,新竹市私立喬安文理短期補習班,"(03)5277900, (03)5280706",英語其他,新竹市四維路100號1至4樓,府教社字第0970125621號,12/1/2008,
24.80438700 ,120.97256900 ,驅勢文教事業有限公司附設新竹市私立驅勢語文短期補習班,(03)5258180,其他英文日文,新竹市東門街62號6樓及民族路31號4樓,府教社字第0980004634 號,1/16/2009,兩間
24.80294110 ,120.96957910 ,新竹市私立山葉鴻韻音樂短期補習班,(03)5266133,音樂音樂音樂,新竹市復興路16-5號2-4樓,府教社字第 0970117252號,12/2/2008,
24.79099310 ,121.01060690 ,新竹市私立想像英語短期補習班,(03)5777620,英文,新竹市立鵬路87號1樓及1樓夾層,府教社字第 0970117250號,11/21/2008,
24.78539220 ,121.00867050 ,新竹市私立竹科多元文理短期補習班,(03)5678646,作文英文數學,新竹市民享街136巷11號1-2樓、民享街138號2樓至4樓,府教社字第0970120568 號,11/20/2008,兩間
24.80196840 ,120.99594630 ,新竹市私立莉蒂亞文理技藝短期補習班,(03)5725983,美術數學音樂美語,新竹市建功一路190號1-3樓、192號1-3樓,府教社字第0970083144 號,9/1/2008,
24.80115910 ,120.98588100 ,新竹市私立來恩文理短期補習班,(03)5725598,英文英文,新竹市光復路2段379號1-4樓,府教社字第0970092282 號,9/24/2008,
24.76315700 ,120.91362890 ,新竹市私立萬儒文理短期補習班,(03)5453437,數學美語,新竹市中華路5段648巷118弄2號1-3樓,府教社字第0970118442號,11/17/2008,
24.80485070 ,120.97268650 ,希格瑪文教事業股份有限公司附設新竹市私立大無限文理短期補習班,(03)5233199,英文數學理化,新竹市民族路34號9樓,府教社字第0970090866號,9/2/2008,
24.82103300 ,120.96880060 ,新竹市私立漢林文理技藝短期補習班,(03)5333313,美術美語數學作文,新竹市武陵路216-2號2-3樓,府教社字第0970074407號,8/1/2008,
24.79413300 ,120.96621000 ,新竹市私立盧老師文理短期補習班,(03)5619075,美語數學,新竹市食品路478號1樓,府教社字第0970097954 號,9/30/2008,
24.78318910 ,121.02059000 ,新竹市私立琳達文理短期補習班,(03)5779091,美語其他數學,新竹市光復路一段268巷17號1樓,府教社字第0970063847 號,6/27/2008,
24.74300510 ,120.90633750 ,新竹市私立威成文理短期補習班,(03)5375439,英語數學,新竹市內湖路107巷9號1-2樓,府教社字第0970063845 號,6/27/2008,
24.80212100 ,120.97671700 ,新竹市私立梁弘大自然文理短期補習班,(03)5611200,數學其他其他,新竹市南大路94號2F至5F,府教社字第0970059876 號,6/19/2008,
24.80096010 ,120.96053600 ,新竹市劍橋西門文理短期補習班,(03)5252800,英語數學,新竹市四維路92號3樓、四維路98號3樓,府教社字第0970051248號,5/22/2008,兩間
24.82116880 ,120.97476270 ,新竹市私立綠手指短期補習班,(03)5319049,美術美語數學作文,新竹市湳雅街180號1-3樓,府教社字第0970028711號,4/1/2008,
24.79990320 ,120.98320510 ,新竹市私立璞心技藝短期補習班,(03)5730950,美術,新竹市園後街67巷1號1樓,府教社字第0970038412 號,4/17/2008,
24.78452210 ,121.01409720 ,新竹市私立四季田語文短期補習班,(03)5783388,美語美語其他,新竹市光復路1段511、513號1-2樓,府教社字第0970024337 號,3/21/2008,
24.80855050 ,120.96206430 ,新竹市私立陳瑩數學文理短期補習班,(03)5228755,數學美語,新竹市民富街122號1-2樓,府教社字第0970021361 號,3/11/2008,
24.79928990 ,120.96198700 ,新竹市私立庭安樂文理短期補習班,(03)5283435,英語,新竹市四維路39號2樓,府教社字第0910074750號,9/27/2002,
24.82246330 ,120.97468650 ,新竹市私立喬治美語文理短期補習班,(03)5152679,數學美語,新竹市金竹路38號2-3樓,府教社字第0970001027 號,1/16/2008,
24.79650550 ,120.94510140 ,新竹市私立傑尼爾竹風分班短期補習班,(03)5300199,音樂數學珠算美語舞蹈,新竹市牛埔東路209號2-4樓,府教社字第0960135697號,1/2/2008,
24.79990680 ,120.98915330 ,精誠資訊股份有限公司新竹分公司附設新竹市私立恆逸電腦短期補習班,(03)5723322,電腦電腦電腦電腦電腦,新竹市光復路2段295號3樓之2,府教社字第0960135457 號,1/2/2008,
24.79458550 ,120.97780220 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師菁英6號文理短期補習班,(03)5720577,其他英文數學國文其他數學英語國語,新竹市學府路37號2-3樓,府教社字第0960133237 號,12/25/2007,
24.79454970 ,120.97772020 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師菁英1號文理短期補習班,(03)5720577,數學英文其他國文其他,新竹市學府路35號1樓,府教社字第0960135696 號,12/25/2007,
24.80298900 ,120.96121800 ,新竹市私立教育家文理短期補習班,(03)5241919,美語其他,新竹市延平路1段37號2-4樓,府教社字第0960128120 號,12/14/2007,
24.81014540 ,120.97356260 ,新竹市私立震新文理短期補習班,(03)5323712,其他英文數學,新竹市民權路198號3、4樓,府教社字第0960129740號,12/20/2007,
24.80221540 ,120.98185810 ,新竹市私立班生文理短期補習班,(03)5629965,數學美語,新竹市體育街30號1樓,府教社字第0960122650 號,11/29/2007,
24.80314700 ,120.97149000 ,新竹市私立德川語文短期補習班站前分班,(03)5257360,日文日文日文國語其他英文,新竹市中正路22號3樓,府教社字第0960115864 號,11/9/2007,
24.81496180 ,120.97821770 ,新竹市私立富華機電短期補習班,(03)532-3300,其他其他其他其他其他,新竹市田美三街22巷6弄17號1-4樓,83府教社字第58892 號(台灣省政府教育廳83.11.25八三教五字第99356號簡便行文表),11/29/1994,
24.78103880 ,121.02642180 ,新竹市私立伯特美語短期補習班,(03)6661930,英語,新竹市光復路1段354巷2號1樓,府教社字第0960101841 號,10/2/2007,
24.74688790 ,120.90821930 ,新竹市私立立晟文理短期補習班,(03)5371334,美語數學,新竹市中華路6段205巷74號1-3樓,府教社字第 0960097351號,9/26/2007,
24.80392200 ,120.97196000 ,新竹市私立宏泰物理短期補習班,(03)5236188,英文生物英文其他物理其他數學其他數學其他其他,新竹市民族路31號5樓,府教社字第0960095530 號,9/13/2007,
24.80362480 ,120.97211550 ,新竹市私立三友語文短期補習班,(03)5345909,日文,新竹市民族路22號5樓,府教社字第0960080312 號,8/13/2007,
24.82461220 ,120.96987590 ,新竹市私立佳緣文理短期補習班,(03)5310878,其他英文,新竹市武陵路271巷31弄5號1樓,府教社字第0960074895 號,7/23/2007,
24.80438100 ,120.97318800 ,菁英國際文教事業有限公司新竹分公司附設私立菁英國際語言短期補習班,(03)5246600,英文日文,新竹市東門街48、50號2、3、4樓,府教社字第 0960063520號,6/23/2007,
24.79403630 ,120.92229370 ,新竹市私立明道文理短期補習班,(03)5388918、5382268,數學其他美語其他,新竹市大庄路251巷6號1-3樓,府教社字第0960040163 號,5/1/2007,
24.78443730 ,121.01145020 ,新竹市私立耕心美語短期補習班,(03)5787811,其他美語其他,新竹市科學園路107巷2號1樓至2樓,府教社字第0960038191 號,4/25/2007,
24.80253010 ,120.96063800 ,新竹市私立有玉音樂短期補習班,(03)5243038,音樂音樂,新竹市中山路312巷22號1樓,府教社字第0960038157 號,4/18/2007,
24.79611170 ,120.96753520 ,新竹市私立新源興文理短期補習班,(03)5621556,數學英語,新竹市南大路421之2號1樓,府教社字第0960034655號,4/11/2007,
24.81789600 ,120.97262200 ,新竹市私立欣法老師文理短期補習班,(03)5425505,數學其他英語,新竹市光華北街52號1-3樓,府教社字第0960031833 號,4/4/2007,
24.82089050 ,120.96482910 ,新竹市私立湳中文理短期補習班,(03)5347686,數學英文,新竹市湳中街87巷2-2號2-4樓,府教社字第0960027396 號,3/21/2007,
24.81600600 ,120.96594400 ,新竹市私立英格美語短期補習班,"(03)5358661, (03)5430088",美語,新竹市東大路2段178號1樓,府教社字第0960008958號,1/31/2007,
24.80780000 ,120.97456800 ,新竹市私立文勝文理短期補習班,(03)5315343,美語數學作文珠心算數學美語,湳中街121巷19號1樓至4樓,府教社字第0960011447號,1/31/2007,
24.78485060 ,121.00902940 ,新竹市私立童化美語語文短期補習班,(03)6662667,英文,新竹市民享街33號1-3樓,府教社字第0960008642 號,1/29/2007,
24.81269070 ,120.96445710 ,新竹市私立小博士文理短期補習班,(03)5332987,數學數學美語美語,新竹市中正路284巷4號1樓,府教社字第0960003152 號,1/18/2007,
24.80346990 ,120.96635340 ,私立救國團新竹團委會附設語文技藝短期補習班西門分班,(03)5248266,烹飪舞蹈英語電腦日文插花其他珠心算書法美容音樂繪畫瑜珈理髮,新竹市西門街146號2.3.4.5樓,府教社字第 0930118246號,11/15/2004,
24.82236830 ,120.97479330 ,新竹市私立瑩星樂園才藝短期補習班,(03)5353105,音樂,新竹市金竹路48巷32號1-3樓,府教社字第0950121738 號,12/6/2006,
24.79063950 ,120.92371830 ,新竹市私立超優文理短期補習班,(03)5398046,數學國語英語,新竹市香北一路111號1-3樓及51號1樓至3樓,府教社字第0950112455號,11/8/2006,兩間
24.82122900 ,120.97363600 ,新竹市私立庫奇短期補習班舊社分班,(03)5351001,英語音樂,新竹市湳雅街219巷15號2-4樓,府教社字第0950106816 號,11/2/2006,
24.80856010 ,120.98224000 ,新竹市私立浪斯邦尼有氧舞蹈短期補習班,(03)5321168,舞蹈,新竹市中華路2段49號2樓之1、2樓之2,府教社字第0950103022 號,10/14/2006,
24.81392930 ,120.97946820 ,新竹市私立桂芝文理藝術商業短期補習班,(03)5321370,數學美語數學其他其他珠心算美語其他,新竹市經國路1段379巷13號1-2樓,府教社字第0950097636 號,9/25/2006,
24.80300610 ,120.97932250 ,新竹市私立企鵝村語文短期補習班,(03)5626560,美語,新竹市公園路282號1樓,府教社字第0950090120 號,9/14/2006,
24.79992110 ,120.98586510 ,新竹市私立向尚藝術短期補習班,(03)5722619,美術,新竹市園後街72巷3號1樓,府教社字第0950089556 號,9/6/2006,
24.81344010 ,120.97666650 ,新竹市私立全方位菁英短期補習班,(03)5337099,數學英文其他,新竹市經國路1段479巷11弄8號3樓,府教社字第 0950081104號,8/15/2006,
24.80065500 ,120.98673120 ,新竹市私立學智文理短期補習班,(03)5726890,數學英文,新竹市學府路443號1-2樓,府教社字第0950080507 號,8/14/2006,
24.80284200 ,120.97327440 ,巨匠電腦股份有限公司新竹中華分公司附設私立中華電腦短期補習班,(03)5284678,電腦,新竹市中華路2段391號1-3樓、393號1-2樓,府教社字第0950080193 號,8/14/2006,
24.81242180 ,120.95608350 ,新竹市私立梓揚文理短期補習班,(03)5236550,美語數學,新竹市竹文街149號1-2樓,府教社字第0950073751 號,7/27/2006,
24.79877950 ,120.98350300 ,新竹市私立百分百短期補習班,(03)5751858,數學國語,新竹市博愛街92巷8號1-2樓,府教社字第0950065926 號,7/12/2006,
24.80069000 ,120.96410600 ,新竹市私立培根中英語文短期補習班,(03)5255393,英文數學,新竹市德成街16號1-2樓,府教社字第0950068333 號,7/17/2006,
24.80302640 ,120.97172550 ,大東海國際書局有限公司附設新竹市私立大東海法商短期補習班,(03)5256786,其他其他其他,新竹市民族路7號2樓、7樓、8樓、9樓,府教社字第0950052614 號,6/9/2006,
24.82124800 ,120.97485810 ,新竹市私立天才兒童美語短期補習班,(03)5421648,美語美語,新竹市湳雅街184號1-3樓,府教社字第0950063163 號,6/30/2006,
24.81813590 ,120.96296050 ,新竹市私立翔林文理短期補習班,(03)5334770,英文數學,新竹市東大路2段315號1-2樓,府教社字第0950044843 號,5/12/2006,
24.81681710 ,120.97621600 ,新竹市私立佑孳學苑文理短期補習班,(03)5426819,美語數學,新竹市光華東一街12號4樓,府教社字第0950044332 號,5/11/2006,
24.78081910 ,121.02424200 ,臺師菁英文教事業股份有限公司附設新竹市私立學研文理短期補習班,(03)6663268,作文數學,新竹市光復路1段89巷9號1-2樓,府教社字第0950036884 號,4/19/2006,
24.81796550 ,120.96381450 ,新竹市私立東大佳音英語文理短期補習班,(03)5351111,英文數學國語其他,新竹市東大路2段228號1-4樓及東大路2段222號1-2樓,府教社字第0950029075 號,3/31/2006,兩間
24.82302490 ,120.97386010 ,新竹市私立印地安文理短期補習班,(03)5326986,數學英語數學英文,新竹市金竹路82號1樓及78號1-3樓,府教社字第0950017281 號,2/24/2006,兩間
24.78043500 ,121.01102750 ,新竹市私立欣心潛能文理短期補習班,(03)5631971,數學,新竹市民有二街2號1樓及1樓夾層,府教社字第0950020000 號,3/6/2006,
24.81377530 ,120.98009770 ,新竹市私立大正短期補習班,(03)5325999,美語,新竹市自由路101號2樓,府教社字第 0950009768號,1/27/2006,
24.80635620 ,120.97656060 ,新竹市私立程鋒文理短期補習班,(03)5346206,物理,新竹市三民里民權路36號2樓,府教社字第 0950007229號,1/20/2006,
24.79096390 ,120.96855430 ,新竹市私立小博士園地英語文短期補習班,(03)5622811,英語,新竹市明湖路231號,府教社字第0950007840 號,1/23/2006,
24.81301090 ,120.98069730 ,新竹市私立朱尼爾短期補習班,(03)5456868,數學英語,新竹市自由路67號2樓之1、2樓之2,府教社字第 0940123345號,12/22/2005,
24.79982320 ,120.96188460 ,新竹市私立傳薪短期補習班,(03)5260277,國語,新竹市四維路92號2樓,府教社字第0940123609 號,12/21/2005,
24.80562970 ,120.96186010 ,新竹市私立炬匠電腦短期補習班,(03)5282888,電腦,新竹市北大路331號,府教社字第0940121668號,12/13/2005,
24.79865580 ,120.98329820 ,新竹市私立資優生心算短期補習班,(03)5166088,心算,新竹市博愛街86號,府教社字第0940118178 號,12/7/2005,
24.74376660 ,120.90600520 ,新竹市私立同心圓文理短期補習班,(03)5374138,數學美語,新竹市香山區內湖路57號,府教社字第0910080912 號,10/18/2002,
24.77520900 ,121.02790000 ,新竹市私立基音美語短期補習班,(03)5637057，5637058,美語,新竹市金山27街57號1-4樓,府教社字第0940061605 號,7/22/2005,
24.79633600 ,120.99885090 ,新竹市私立高傳文理短期補習班,(03)5727156,數學,新竹市建功路26號2樓之1,府教社字第 0940083648號,9/5/2005,
24.80587210 ,120.95259990 ,新竹市私立兒童村美語短期補習班,(03)5246902,美語,新竹市延平路一段214巷74號2樓(95.8.11府教社字第0950080753號函核准變更班址),府教社字第 0940081174號,8/29/2005,
24.82127830 ,120.97450280 ,新竹市私立捷勝文理短期補習班,(03)5152542,數學英語,新竹市湳雅街225號,府教社字第0940043186 號,5/17/2005,
24.81368390 ,120.97915040 ,新竹市私立泰迪貝爾短期補習班,(03)5358020,美語數學其他,新竹市自由路95巷18弄26號2樓之1,府教社字第 0940003091號,1/11/2005,
24.80353610 ,120.98421200 ,新竹市私立舞飛氧舞蹈短期補習班,(03)5160199,舞蹈舞蹈,新竹市八德路158號2樓至3樓,府教社字第 0940039008號,5/2/2005,
24.81818540 ,120.97070650 ,新竹市私立維肯美語文理短期補習班,(03)5152328,英語數學其他國語,新竹市湳雅街91-1號4樓,府教社字第0940033007 號,4/21/2005,
24.79747940 ,120.99622980 ,新竹市私立偉誠文理短期補習班,(03)5727677,英語數學其他,新竹市光復路二段430號2-3樓,府教社字第0940001195 號,1/18/2005,
24.80303650 ,120.97325010 ,新竹市私立聯成電腦短期補習班,(03)5235568,電腦,新竹市中華路二段387號1-3樓,府教社字第 0940013557號,2/21/2005,
24.81083660 ,120.98157580 ,新竹市私立法老師文理短期補習班,(03)5355650,英文數學其他,新竹市民族路253號1樓及2樓之1,府教社字第0940022712 號,3/14/2005,
24.79488170 ,120.99952840 ,全國文教事業有限公司附設新竹市私立全國外語中心短期補習班,(03)5736588,日文美語,新竹市光復路2段254號4樓,府教社字第 0940018024號,3/7/2005,
24.80640150 ,120.97459520 ,何嘉仁文教事業股份有限公司新竹分公司附設新竹市私立風城語文短期補習班,(03)5322388,日文英語其他,新竹市民族路55號1-3樓,府教社字第 09400018820號,3/7/2005,
24.78431350 ,121.01374790 ,新竹市私立種子英語短期補習班,(03)6686205,英語,新竹市光復路一段485巷6弄7號1-2樓,府教社字第0930162895 號,12/29/2004,
24.81605070 ,120.96661770 ,新竹市私立文思快樂學園文理短期補習班,(03)5351280,美語,新竹市東大路二段172巷18號1樓,府教社字第0930091940 號,8/26/2004,
24.80052300 ,120.98392200 ,新竹市私立華盛頓文理短期補習班,(03)5721668，5721469,英語,新竹市綠水路59、61號1樓,府教社字第0930124555 號,11/29/2004,
24.80063780 ,120.99470310 ,新竹市私立米羅語文短期補習班,(03)5733066、5166399,美語,新竹市建中路48號1樓(擴充班舍至42號1樓)、建功一路202、206號1-3樓,府教社字第 0930124532號,12/1/2004,多間
24.78507020 ,121.01092500 ,新竹市私立延展文理短期補習班,(03)5631905,美語數學,新竹市光復路一段607巷30號1樓,府教社字第 0930117088號,11/8/2004,
24.80598930 ,120.95990850 ,新竹市私立皇室3號美語短期補習班,(03)5223449,美語,新竹市民富里七鄰少年街39號3樓及4樓,府教社字第 0930100966號,9/20/2004,
24.81188410 ,120.95482300 ,新竹市私立邦尼文理短期補習班,(03)5265706,數學美語,新竹市西大路755號,府教社字第0930087865 號,8/10/2004,
24.83859040 ,120.93851610 ,新竹市私立陽陞文理短期補習班,(0937)152252,美語數學,新竹市東大路三段467巷30號,府教社字第0930059605 號,5/17/2004,
24.80485070 ,120.97268650 ,希格瑪文教事業股份有限公司附設新竹市私立希格瑪文理短期補習班,03-5233119,理化英語數學,新竹市民族路34號8樓,府教社字第 0930065501號,6/3/2004,
24.78394360 ,121.01449030 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師7號短期補習班,(03)6667766,英文數學理化,新竹市光復路一段485巷11號1樓,府教社字第0930064125 號,5/31/2004,
24.81431820 ,120.97903090 ,新竹市私立郭義科學教育中心短期補習班,(03)5436621,數學英語理化,新竹市經國路1段379巷8號4樓至六樓,府教社字第 0930069609號,6/16/2004,
24.78511940 ,121.01090670 ,新竹市私立弗利思特美語短期補習班,(03)5780269,美語,新竹市光復路一段607巷28號,府教社字第0930052077號,4/23/2004,
24.80370280 ,120.95759840 ,新竹市私立奧斯卡美語短期補習班,(03)5221672,美語,新竹市民富街260號2樓,府教社字第0930045609號,4/7/2004,
24.80664450 ,120.97195140 ,新竹市私立弗克思美語短期補習班,(03)5339598,美語,新竹市仁愛街10號1樓至4樓,府教社字第0930015493號,2/25/2004,
24.79914930 ,120.98147880 ,新竹市私立英倫英語短期補習班,(03)5728575,英語,新竹市博愛街85號1樓至2樓、95號1樓至2樓,府教社字第0930005538號,1/16/2004,兩間
24.80873420 ,120.97427800 ,新竹市私立德恩美日語中央分校短期補習班,(03)5318251,日文,新竹市中央路198號6樓,府教社字第0920105084號,12/15/2003,
24.79897450 ,120.96436310 ,新竹市私立迅英美語短期補習班,(03)5225251,美語,新竹市林森路187號3樓之4,府教社字第0920102165號,12/4/2003,
24.80142700 ,120.96819530 ,新竹市私立偉文電腦短期補習班,(03)5218888,電腦電腦電腦,新竹市南門里林森路57號2樓,府教社字第0920101286號,12/1/2003,
24.79944790 ,120.94184080 ,新竹市私立優百科文理短期補習班,(03)5386210,英語,新竹市牛埔北路80巷17號,府教社字第 0920096315號,11/14/2003,
24.78341310 ,121.02266970 ,新竹市私立丹尼爾美語短期補習班,(03)5782575,美語,新竹市關東路66號,府教社字第0920069072號,8/19/2003,
24.78423740 ,121.01404850 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師2號文理短期補習班,03-6667766,理化數學英文,新竹市光復路1段485巷6弄12、16號一、二樓,府教社字第0920068953號,8/19/2003,
24.81382510 ,120.97972800 ,新竹市私立卓見電腦美語短期補習班,(03)5152910,電腦英語英語,新竹市經國路1段379巷21號,府教社字第0920068273號,8/18/2003,
24.78573260 ,121.01835780 ,新竹市私立竹科芝麻街美語文理短期補習班,(03)6667399,英語英語數學,新竹市關新路51號2樓,府教社字第0920062523號,7/29/2003,
24.78289260 ,121.01884860 ,新竹市私立劍橋短期補習班,(03)5338788 5795569,英語,新竹市光復路一段322號二樓,府教社字第0910007299號,2/19/2001,
24.80630300 ,120.97424900 ,新竹市私立建傳音樂短期補習班,(03)5311426,音樂,新竹市民族路43號3樓,府教社字第0920057919號,7/14/2003,
24.80849140 ,120.96099480 ,新竹市私立安妮英語文理短期補習班,(03)5254849,英語英語其他國語數學其他,新竹市西大路668號1樓及2樓,府教社字第0920055025號,7/4/2003,
24.80378000 ,120.97078950 ,新竹市私立北太電腦短期補習班,(03)5230188,電腦電腦電腦,新竹市中正路49號2-3樓,府教社字第0920053608號,7/1/2003,
24.78342140 ,121.01863760 ,新竹市私立登峰文理短期補習班,(03)5635300,其他數學,新竹市光復路一段354巷16弄2號1樓,府教社字第0920049543號,6/17/2003,
24.79661500 ,120.95132010 ,新竹市私立貝利電腦美語短期補習班,(03)5302330,電腦英語,新竹市頂埔路6號,府教社字第0920050356號,6/20/2003,
24.78425940 ,121.01389030 ,新竹市私立傑登文理短期補習班,(03)6667899,英語珠算數學其他,新竹市光復路一段485巷6弄27、29號1、2樓及11、15號1樓,府教社字第0920047477號,6/10/2003,多間
24.79797510 ,120.98485820 ,新竹市私立欣優陞英數理化短期補習班,(03)5737630,數學理化英語,新竹市博愛街26號1樓及22巷3號1樓,府教社字第0920043929號,5/29/2003,兩間
24.77684100 ,121.02368200 ,弋果文化事業股份有限公司附設新竹市私立旗艦美語短期補習班,(03)5637733,美語,新竹市金山六街5號,府教社字第0920029716號,1/1/2000,
24.78957280 ,120.92579470 ,新竹市私立瀚英文理短期補習班,(03)5386326,美語數學,新竹市香北路225巷90弄11號2-4樓(95.8.10府教社字第0950078485號准予變更),府教社字第0920031358 號,4/17/2003,
24.80314700 ,120.97149000 ,新竹市私立翔宇英文文理短期補習班,(03)5284263，6120136,英語,新竹市中正路22號5樓之1、5樓之2,府教社字第0920029638 號,4/10/2003,
24.80085120 ,120.99452560 ,新竹市私立典翰文理短期補習班,(03)5748988,數學美語,新竹市建中路31號1樓,府教社字第0920023028 號,3/21/2003,
24.79185240 ,120.96847620 ,新竹市私立亮榮昌文理短期補習班,(03)5623249,美語電腦,新竹市明湖路180號2樓之2,府教社字第 0920002323號,1/9/2003,
24.80721890 ,120.96016890 ,新竹市私立育碩文理短期補習班,(03)5262307,美語數學,新竹市民富街155、157、159號1樓,府教社字第0910044490 號,6/13/2002,多間
24.79974400 ,120.96175250 ,新竹市私立英維文理短期補習班,(03)5282621,英語,新竹市四維路90號1-4樓,府社字第 0910062058號,8/19/2001,
24.81762600 ,120.97288000 ,新竹市私立愛丁堡美語短期補習班,(03)5350603(03)5344151,英文,新竹市光華北街49號,府社字第 0910060370號,8/12/2002,
24.82224750 ,120.97031280 ,新竹市私立瑪格瑞特美語短期補習班,(03)5349601,美語,新竹市武陵路266號、266號2樓之1、2樓之2、2樓之3,府社字第0910061631 號,5/19/2001,
24.78029410 ,120.96718760 ,新竹市私立新竹汽車客運股份有限公司 汽車駕駛修護短期職業補習班短期補習班,(03)5201127,,新竹市明湖路484號,府教社字第100034號,12/23/1971,
24.79763450 ,120.97441330 ,部落森數位文創有限公司附設新竹市私立部落森文理短期補習班,(03)5612009,數學英語理化,新竹市東南街139號2-3樓,府教社字第0870087827號,11/20/1998,
24.80485070 ,120.97268650 ,新竹市私立力行補習班(民族分部)短期補習班,(03)5216181,,新竹市民族路34號8樓,府教社字第0870018509號,8/12/1989,
24.79484220 ,120.97638930 ,新竹市私立麥克國英語會話短期補習班,(03)5711399,國語英語,新竹市東南街261號1-3樓(95.09.11府教社字第0950090129號函准予變更),府教社字第58858號,8/4/1998,
