緯度,經度,補習班名稱,電話
24.8325097, 121.01633659999993,私立名喬音樂短期補習班,(03)5554220　
24.8749929, 120.99851119999994,私立小巨人文理短期補習班,(03)5572170　
24.8298891, 121.00732040000003,私立範勳文理短期補習班,(03)5510525　
24.7007428, 121.05525869999997,私立上上文理短期補習班,(03)5803051　
24.8277425, 121.07296280000003,私立正揚文理短期補習班,(03)5891527　
24.8997017, 121.04521690000001,私立中央舞蹈短期補習班,(03)5992420　
24.8277091, 121.07291600000008,私立貝爾實驗美語會話短期補習班,(03)5886735　
24.8330048, 121.01419409999994,私立北辰文理短期補習班,(03)5517438　
24.7376843, 121.09409400000004,私立哈佛文理短期補習班,(03)5951978　
24.7740592, 121.08076410000001,私立文林文理短期補習班,(03)5923000　
24.7922544, 121.1770272,私立佳仁美語才藝短期補習班,(03)5878600　
24.8998196, 121.04231779999998,私立頂尖美語會話短期補習班,(03)5991442　
24.7352562, 121.08670239999992,私立康寧英語會話補習班,"(03)5952332, 5943322　"
24.900209, 121.04801999999995,私立香香舞蹈短期補習班,(03)5992533　
24.843575, 120.99941999999999,私立資優英語會話短期補習班,"(03)5554697 ,5551697　"
24.7365549, 121.08755229999997,私立自強文理短期補習班,"(03)5963863 ,5955798　"
